id,user_article_id,tag,created_at,updated_at
2,164,ge,"2013-10-01 01:46:05.354744","2013-10-01 01:46:05.354744"
3,188,it,"2013-10-02 12:25:36.763095","2013-10-02 12:25:36.763095"
6,218,Ruby,"2013-10-11 10:44:28.922740","2013-10-11 10:44:28.922740"
7,218,Rails,"2013-10-11 10:44:28.936604","2013-10-11 10:44:28.936604"
8,218,sqlite3,"2013-10-11 10:44:28.951472","2013-10-11 10:44:28.951472"
9,227,ruby,"2013-10-13 05:27:50.817459","2013-10-13 05:27:50.817459"
10,227,rails,"2013-10-13 05:27:50.841079","2013-10-13 05:27:50.841079"
11,227,activerecord,"2013-10-13 05:27:50.858620","2013-10-13 05:27:50.858620"
12,228,"野球","2013-10-13 06:53:40.041394","2013-10-13 06:53:40.041394"
15,234,activerecord,"2013-10-13 09:44:06.374074","2013-10-13 09:44:06.374074"
16,234,rails,"2013-10-13 09:44:06.393449","2013-10-13 09:44:06.393449"
17,234,ruby,"2013-10-13 09:44:06.413607","2013-10-13 09:44:06.413607"
18,234,sqlite3,"2013-10-13 09:44:06.429463","2013-10-13 09:44:06.429463"
20,236,"イヤホン","2013-10-13 09:49:37.387763","2013-10-13 09:49:37.387763"
21,242,"テスト","2013-10-14 10:05:13.140272","2013-10-14 10:05:13.140272"
22,242,Rails,"2013-10-14 10:05:13.155813","2013-10-14 10:05:13.155813"
23,244,"はてぶ","2013-10-14 10:39:01.787054","2013-10-14 10:39:01.787054"
24,244,Gunosy,"2013-10-14 10:39:01.807517","2013-10-14 10:39:01.807517"
25,245,"エンタメ","2013-10-14 14:25:57.685802","2013-10-14 14:25:57.685802"
26,247,Web,"2013-10-14 16:56:21.857240","2013-10-14 16:56:21.857240"
27,247,CSS,"2013-10-14 16:56:21.878636","2013-10-14 16:56:21.878636"
28,248,gotolove,"2013-10-15 09:50:30.168132","2013-10-15 09:50:30.168132"
29,248,wei,"2013-10-15 09:50:30.183830","2013-10-15 09:50:30.183830"
30,248,ruby,"2013-10-15 09:50:30.198551","2013-10-15 09:50:30.198551"
31,248,nokogiri,"2013-10-15 09:50:30.215433","2013-10-15 09:50:30.215433"
32,249,"台風","2013-10-15 12:05:40.436717","2013-10-15 12:05:40.436717"
33,250,"エンタメ","2013-10-15 12:06:37.668121","2013-10-15 12:06:37.668121"
34,251,facebook,"2013-10-15 12:08:00.839205","2013-10-15 12:08:00.839205"
35,252,"エンタメ","2013-10-15 12:08:20.907406","2013-10-15 12:08:20.907406"
36,253,"世の中","2013-10-15 13:58:09.225917","2013-10-15 13:58:09.225917"
37,257,github,"2013-10-17 14:27:49.542975","2013-10-17 14:27:49.542975"
38,257,"テクノロジー","2013-10-17 14:27:49.589814","2013-10-17 14:27:49.589814"
39,262,"エンタメ","2013-10-19 17:35:36.127156","2013-10-19 17:35:36.127156"
40,263,"クラスタリング","2013-10-20 12:42:48.468903","2013-10-20 12:42:48.468903"
41,263,"テキスト解析","2013-10-20 12:42:48.489161","2013-10-20 12:42:48.489161"
43,265,Rails,"2013-10-20 15:23:53.270553","2013-10-20 15:23:53.270553"
44,266,Rails,"2013-10-20 15:27:54.810627","2013-10-20 15:27:54.810627"
45,267,Rails,"2013-10-20 15:37:14.715205","2013-10-20 15:37:14.715205"
46,282,Rails,"2013-10-24 09:20:45.156451","2013-10-24 09:20:45.156451"
47,282,Ruby,"2013-10-24 09:20:45.179354","2013-10-24 09:20:45.179354"
48,291,Ruby,"2013-11-01 08:49:15.076810","2013-11-01 08:49:15.076810"
49,291,Rails,"2013-11-01 08:49:15.093761","2013-11-01 08:49:15.093761"
50,291,nokogiri,"2013-11-01 08:49:15.124413","2013-11-01 08:49:15.124413"
51,291,ruby,"2013-11-01 08:49:15.141510","2013-11-01 08:49:15.141510"
52,292,"はてぶ","2013-11-02 05:48:53.283509","2013-11-02 05:48:53.283509"
53,294,"マーケティング","2013-11-02 05:49:50.264540","2013-11-02 05:49:50.264540"
54,295,"マーケティング","2013-11-02 05:50:31.950100","2013-11-02 05:50:31.950100"
55,296,MVC,"2013-11-02 05:55:31.869975","2013-11-02 05:55:31.869975"
56,297,"マーケティング","2013-11-02 06:25:39.347973","2013-11-02 06:25:39.347973"
57,300,Rails,"2013-11-02 12:27:42.449966","2013-11-02 12:27:42.449966"
58,301,"マーケティング","2013-11-02 16:34:10.591528","2013-11-02 16:34:10.591528"
59,302,MVC,"2013-11-02 23:09:13.145006","2013-11-02 23:09:13.145006"
60,271,ruby,"2013-11-04 09:27:26.135059","2013-11-04 09:27:26.135137"
61,271,Rails,"2013-11-04 09:27:26.135059","2013-11-04 09:27:26.135137"
62,271,Ruby,"2013-11-04 09:27:26.135059","2013-11-04 09:27:26.135137"
63,271,SQL,"2013-11-04 09:27:26.135059","2013-11-04 09:27:26.135137"
64,271,"１２３４５６７８９０","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
65,271,"１２３４５６７８９１","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
66,271,"１２３４５６７８９２","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
67,271,"１２３４５６７８９３","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
68,271,"１２３４５６７８９４","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
69,271,"１２３４５６７８９５","2013-11-04 09:27:49.097383","2013-11-04 09:27:49.097420"
70,323,ge,"2013-11-04 09:32:20.651567","2013-11-04 09:32:20.651604"
74,331,Ruby,"2013-11-05 02:49:23.636633","2013-11-05 02:49:23.636694"
75,332,jvm,"2013-11-11 10:33:08.580139","2013-11-11 10:33:08.580192"
76,333,wordpress,"2013-11-11 10:33:38.295865","2013-11-11 10:33:38.295909"
77,334,heroku,"2013-11-11 10:33:55.859294","2013-11-11 10:33:55.859325"
